Assembly_ID,Sub_parts,Assembly_Time,Assembly_Cost,Restrictive_Tolerance,Quantity,Supplier
Bearing_10_1,"Bearing_10_Ball__1.binvox, Bearing_10_InnerRing__1.binvox, Bearing_10_OuterRing__1.binvox, Bearing_10_Seal__1.binvox, Bearing_10_Ball__1.binvox, Bearing_10_Ball__1.binvox, Bearing_10_Ball__1.binvox, Bearing_10_Ball__1.binvox, Bearing_10_Ball__1.binvox, Bearing_10_Ball__1.binvox, Bearing_10_Ball__1.binvox",59.16,66.26,16.7,57,1
Bearing_10_10,"Bearing_10_Ball__10.binvox, Bearing_10_InnerRing__10.binvox, Bearing_10_OuterRing__10.binvox, Bearing_10_Seal__10.binvox, Bearing_10_Ball__10.binvox, Bearing_10_Ball__10.binvox, Bearing_10_Ball__10.binvox, Bearing_10_Ball__10.binvox, Bearing_10_Ball__10.binvox, Bearing_10_Ball__10.binvox, Bearing_10_Ball__10.binvox",59.51,66.65,17.08,88,1
Bearing_10_3,"Bearing_10_Ball__3.binvox, Bearing_10_InnerRing__3.binvox, Bearing_10_OuterRing__3.binvox, Bearing_10_Seal__3.binvox, Bearing_10_Ball__3.binvox, Bearing_10_Ball__3.binvox, Bearing_10_Ball__3.binvox, Bearing_10_Ball__3.binvox, Bearing_10_Ball__3.binvox, Bearing_10_Ball__3.binvox, Bearing_10_Ball__3.binvox",57.76,64.69,17.96,119,1
Bearing_10_4,"Bearing_10_Ball__4.binvox, Bearing_10_InnerRing__4.binvox, Bearing_10_OuterRing__4.binvox, Bearing_10_Seal__4.binvox, Bearing_10_Ball__4.binvox, Bearing_10_Ball__4.binvox, Bearing_10_Ball__4.binvox, Bearing_10_Ball__4.binvox, Bearing_10_Ball__4.binvox, Bearing_10_Ball__4.binvox, Bearing_10_Ball__4.binvox",62.12,69.57,16.61,76,1
Bearing_10_5,"Bearing_10_Ball__5.binvox, Bearing_10_InnerRing__5.binvox, Bearing_10_OuterRing__5.binvox, Bearing_10_Seal__5.binvox, Bearing_10_Ball__5.binvox, Bearing_10_Ball__5.binvox, Bearing_10_Ball__5.binvox, Bearing_10_Ball__5.binvox, Bearing_10_Ball__5.binvox, Bearing_10_Ball__5.binvox, Bearing_10_Ball__5.binvox",61.25,68.6,16.27,125,1
Bearing_10_7,"Bearing_10_Ball__7.binvox, Bearing_10_InnerRing__7.binvox, Bearing_10_OuterRing__7.binvox, Bearing_10_Seal__7.binvox, Bearing_10_Ball__7.binvox, Bearing_10_Ball__7.binvox, Bearing_10_Ball__7.binvox, Bearing_10_Ball__7.binvox, Bearing_10_Ball__7.binvox, Bearing_10_Ball__7.binvox, Bearing_10_Ball__7.binvox",53.27,59.66,16.87,95,1
Bearing_10_8,"Bearing_10_Ball__8.binvox, Bearing_10_InnerRing__8.binvox, Bearing_10_OuterRing__8.binvox, Bearing_10_Seal__8.binvox, Bearing_10_Ball__8.binvox, Bearing_10_Ball__8.binvox, Bearing_10_Ball__8.binvox, Bearing_10_Ball__8.binvox, Bearing_10_Ball__8.binvox, Bearing_10_Ball__8.binvox, Bearing_10_Ball__8.binvox",62.69,70.21,17.58,114,1
Bearing_1_1,"Bearing_1_Ball__1.binvox, Bearing_1_Cage__1.binvox, Bearing_1_InnerRing__1.binvox, Bearing_1_OuterRing__1.binvox, Bearing_1_Ball__1.binvox, Bearing_1_Ball__1.binvox, Bearing_1_Ball__1.binvox, Bearing_1_Ball__1.binvox, Bearing_1_Ball__1.binvox, Bearing_1_Ball__1.binvox, Bearing_1_Ball__1.binvox",55.69,62.37,11.77,98,1
Bearing_1_10,"Bearing_1_Ball__10.binvox, Bearing_1_Cage__10.binvox, Bearing_1_InnerRing__10.binvox, Bearing_1_OuterRing__10.binvox, Bearing_1_Ball__10.binvox, Bearing_1_Ball__10.binvox, Bearing_1_Ball__10.binvox, Bearing_1_Ball__10.binvox, Bearing_1_Ball__10.binvox, Bearing_1_Ball__10.binvox, Bearing_1_Ball__10.binvox",61.31,68.67,12.03,103,1
Bearing_1_3,"Bearing_1_Ball__3.binvox, Bearing_1_Cage__3.binvox, Bearing_1_InnerRing__3.binvox, Bearing_1_OuterRing__3.binvox, Bearing_1_Ball__3.binvox, Bearing_1_Ball__3.binvox, Bearing_1_Ball__3.binvox, Bearing_1_Ball__3.binvox, Bearing_1_Ball__3.binvox, Bearing_1_Ball__3.binvox, Bearing_1_Ball__3.binvox",56.39,63.16,11.24,105,1
Bearing_1_4,"Bearing_1_Ball__4.binvox, Bearing_1_Cage__4.binvox, Bearing_1_InnerRing__4.binvox, Bearing_1_OuterRing__4.binvox, Bearing_1_Ball__4.binvox, Bearing_1_Ball__4.binvox, Bearing_1_Ball__4.binvox, Bearing_1_Ball__4.binvox, Bearing_1_Ball__4.binvox, Bearing_1_Ball__4.binvox, Bearing_1_Ball__4.binvox",60.33,67.57,12.61,92,1
Bearing_1_5,"Bearing_1_Ball__5.binvox, Bearing_1_Cage__5.binvox, Bearing_1_InnerRing__5.binvox, Bearing_1_OuterRing__5.binvox, Bearing_1_Ball__5.binvox, Bearing_1_Ball__5.binvox, Bearing_1_Ball__5.binvox, Bearing_1_Ball__5.binvox, Bearing_1_Ball__5.binvox, Bearing_1_Ball__5.binvox, Bearing_1_Ball__5.binvox",59.18,66.28,12.35,88,1
Bearing_1_7,"Bearing_1_Ball__7.binvox, Bearing_1_Cage__7.binvox, Bearing_1_InnerRing__7.binvox, Bearing_1_OuterRing__7.binvox, Bearing_1_Ball__7.binvox, Bearing_1_Ball__7.binvox, Bearing_1_Ball__7.binvox, Bearing_1_Ball__7.binvox, Bearing_1_Ball__7.binvox, Bearing_1_Ball__7.binvox, Bearing_1_Ball__7.binvox",64.74,72.51,11.85,58,1
Bearing_1_8,"Bearing_1_Ball__8.binvox, Bearing_1_Cage__8.binvox, Bearing_1_InnerRing__8.binvox, Bearing_1_OuterRing__8.binvox, Bearing_1_Ball__8.binvox, Bearing_1_Ball__8.binvox, Bearing_1_Ball__8.binvox, Bearing_1_Ball__8.binvox, Bearing_1_Ball__8.binvox, Bearing_1_Ball__8.binvox, Bearing_1_Ball__8.binvox",61.19,68.53,11.85,109,1
Bearing_2_1,"Bearing_2_Ball__1.binvox, Bearing_2_InnerRing__1.binvox, Bearing_2_OuterRing__1.binvox, Bearing_2_Ball__1.binvox, Bearing_2_Ball__1.binvox, Bearing_2_Ball__1.binvox, Bearing_2_Ball__1.binvox, Bearing_2_Ball__1.binvox, Bearing_2_Ball__1.binvox, Bearing_2_Ball__1.binvox",52.88,59.23,12.35,83,1
Bearing_2_10,"Bearing_2_Ball__10.binvox, Bearing_2_InnerRing__10.binvox, Bearing_2_OuterRing__10.binvox, Bearing_2_Ball__10.binvox, Bearing_2_Ball__10.binvox, Bearing_2_Ball__10.binvox, Bearing_2_Ball__10.binvox, Bearing_2_Ball__10.binvox, Bearing_2_Ball__10.binvox, Bearing_2_Ball__10.binvox",52.46,58.76,12.87,86,1
