Assembly_ID,Sub_parts,Edge_Index
Bearing_10_1,"Bearing_10_Ball__1.binvox, Bearing_10_InnerRing__1.binvox, Bearing_10_OuterRing__1.binvox, Bearing_10_Seal__1.binvox, Bearing_10_Ball__1.binvox, Bearing_10_Ball__1.binvox, Bearing_10_Ball__1.binvox, Bearing_10_Ball__1.binvox, Bearing_10_Ball__1.binvox, Bearing_10_Ball__1.binvox, Bearing_10_Ball__1.binvox","[(0, 1), (1, 2), (2, 1), (3, 1), (2, 0), (2, 3), (0, 2), (1, 0), (3, 2), (1, 3)]"
Bearing_10_10,"Bearing_10_Ball__10.binvox, Bearing_10_InnerRing__10.binvox, Bearing_10_OuterRing__10.binvox, Bearing_10_Seal__10.binvox, Bearing_10_Ball__10.binvox, Bearing_10_Ball__10.binvox, Bearing_10_Ball__10.binvox, Bearing_10_Ball__10.binvox, Bearing_10_Ball__10.binvox, Bearing_10_Ball__10.binvox, Bearing_10_Ball__10.binvox","[(0, 1), (1, 2), (2, 1), (3, 1), (2, 0), (2, 3), (0, 2), (1, 0), (3, 2), (1, 3)]"
Bearing_10_3,"Bearing_10_Ball__3.binvox, Bearing_10_InnerRing__3.binvox, Bearing_10_OuterRing__3.binvox, Bearing_10_Seal__3.binvox, Bearing_10_Ball__3.binvox, Bearing_10_Ball__3.binvox, Bearing_10_Ball__3.binvox, Bearing_10_Ball__3.binvox, Bearing_10_Ball__3.binvox, Bearing_10_Ball__3.binvox, Bearing_10_Ball__3.binvox","[(0, 1), (1, 2), (2, 1), (3, 1), (2, 0), (2, 3), (0, 2), (1, 0), (3, 2), (1, 3)]"
Bearing_10_4,"Bearing_10_Ball__4.binvox, Bearing_10_InnerRing__4.binvox, Bearing_10_OuterRing__4.binvox, Bearing_10_Seal__4.binvox, Bearing_10_Ball__4.binvox, Bearing_10_Ball__4.binvox, Bearing_10_Ball__4.binvox, Bearing_10_Ball__4.binvox, Bearing_10_Ball__4.binvox, Bearing_10_Ball__4.binvox, Bearing_10_Ball__4.binvox","[(0, 1), (1, 2), (2, 1), (3, 1), (2, 0), (2, 3), (0, 2), (1, 0), (3, 2), (1, 3)]"
Bearing_10_5,"Bearing_10_Ball__5.binvox, Bearing_10_InnerRing__5.binvox, Bearing_10_OuterRing__5.binvox, Bearing_10_Seal__5.binvox, Bearing_10_Ball__5.binvox, Bearing_10_Ball__5.binvox, Bearing_10_Ball__5.binvox, Bearing_10_Ball__5.binvox, Bearing_10_Ball__5.binvox, Bearing_10_Ball__5.binvox, Bearing_10_Ball__5.binvox","[(0, 1), (1, 2), (2, 1), (3, 1), (2, 0), (2, 3), (0, 2), (1, 0), (3, 2), (1, 3)]"
Bearing_10_7,"Bearing_10_Ball__7.binvox, Bearing_10_InnerRing__7.binvox, Bearing_10_OuterRing__7.binvox, Bearing_10_Seal__7.binvox, Bearing_10_Ball__7.binvox, Bearing_10_Ball__7.binvox, Bearing_10_Ball__7.binvox, Bearing_10_Ball__7.binvox, Bearing_10_Ball__7.binvox, Bearing_10_Ball__7.binvox, Bearing_10_Ball__7.binvox","[(0, 1), (1, 2), (2, 1), (3, 1), (2, 0), (2, 3), (0, 2), (1, 0), (3, 2), (1, 3)]"
Bearing_10_8,"Bearing_10_Ball__8.binvox, Bearing_10_InnerRing__8.binvox, Bearing_10_OuterRing__8.binvox, Bearing_10_Seal__8.binvox, Bearing_10_Ball__8.binvox, Bearing_10_Ball__8.binvox, Bearing_10_Ball__8.binvox, Bearing_10_Ball__8.binvox, Bearing_10_Ball__8.binvox, Bearing_10_Ball__8.binvox, Bearing_10_Ball__8.binvox","[(0, 1), (1, 2), (2, 1), (3, 1), (2, 0), (2, 3), (0, 2), (1, 0), (3, 2), (1, 3)]"
Bearing_1_1,"Bearing_1_Ball__1.binvox, Bearing_1_Cage__1.binvox, Bearing_1_InnerRing__1.binvox, Bearing_1_OuterRing__1.binvox, Bearing_1_Ball__1.binvox, Bearing_1_Ball__1.binvox, Bearing_1_Ball__1.binvox, Bearing_1_Ball__1.binvox, Bearing_1_Ball__1.binvox, Bearing_1_Ball__1.binvox, Bearing_1_Ball__1.binvox","[(0, 1), (0, 3), (2, 0), (3, 0), (2, 3), (0, 2), (1, 0), (3, 2)]"
Bearing_1_10,"Bearing_1_Ball__10.binvox, Bearing_1_Cage__10.binvox, Bearing_1_InnerRing__10.binvox, Bearing_1_OuterRing__10.binvox, Bearing_1_Ball__10.binvox, Bearing_1_Ball__10.binvox, Bearing_1_Ball__10.binvox, Bearing_1_Ball__10.binvox, Bearing_1_Ball__10.binvox, Bearing_1_Ball__10.binvox, Bearing_1_Ball__10.binvox","[(0, 1), (0, 3), (2, 0), (3, 0), (2, 3), (0, 2), (1, 0), (3, 2)]"
Bearing_1_3,"Bearing_1_Ball__3.binvox, Bearing_1_Cage__3.binvox, Bearing_1_InnerRing__3.binvox, Bearing_1_OuterRing__3.binvox, Bearing_1_Ball__3.binvox, Bearing_1_Ball__3.binvox, Bearing_1_Ball__3.binvox, Bearing_1_Ball__3.binvox, Bearing_1_Ball__3.binvox, Bearing_1_Ball__3.binvox, Bearing_1_Ball__3.binvox","[(0, 1), (0, 3), (2, 0), (3, 0), (2, 3), (0, 2), (1, 0), (3, 2)]"
Bearing_1_4,"Bearing_1_Ball__4.binvox, Bearing_1_Cage__4.binvox, Bearing_1_InnerRing__4.binvox, Bearing_1_OuterRing__4.binvox, Bearing_1_Ball__4.binvox, Bearing_1_Ball__4.binvox, Bearing_1_Ball__4.binvox, Bearing_1_Ball__4.binvox, Bearing_1_Ball__4.binvox, Bearing_1_Ball__4.binvox, Bearing_1_Ball__4.binvox","[(0, 1), (0, 3), (2, 0), (3, 0), (2, 3), (0, 2), (1, 0), (3, 2)]"
Bearing_1_5,"Bearing_1_Ball__5.binvox, Bearing_1_Cage__5.binvox, Bearing_1_InnerRing__5.binvox, Bearing_1_OuterRing__5.binvox, Bearing_1_Ball__5.binvox, Bearing_1_Ball__5.binvox, Bearing_1_Ball__5.binvox, Bearing_1_Ball__5.binvox, Bearing_1_Ball__5.binvox, Bearing_1_Ball__5.binvox, Bearing_1_Ball__5.binvox","[(0, 1), (0, 3), (2, 0), (3, 0), (2, 3), (0, 2), (1, 0), (3, 2)]"
Bearing_1_7,"Bearing_1_Ball__7.binvox, Bearing_1_Cage__7.binvox, Bearing_1_InnerRing__7.binvox, Bearing_1_OuterRing__7.binvox, Bearing_1_Ball__7.binvox, Bearing_1_Ball__7.binvox, Bearing_1_Ball__7.binvox, Bearing_1_Ball__7.binvox, Bearing_1_Ball__7.binvox, Bearing_1_Ball__7.binvox, Bearing_1_Ball__7.binvox","[(0, 1), (0, 3), (2, 0), (3, 0), (2, 3), (0, 2), (1, 0), (3, 2)]"
Bearing_1_8,"Bearing_1_Ball__8.binvox, Bearing_1_Cage__8.binvox, Bearing_1_InnerRing__8.binvox, Bearing_1_OuterRing__8.binvox, Bearing_1_Ball__8.binvox, Bearing_1_Ball__8.binvox, Bearing_1_Ball__8.binvox, Bearing_1_Ball__8.binvox, Bearing_1_Ball__8.binvox, Bearing_1_Ball__8.binvox, Bearing_1_Ball__8.binvox","[(0, 1), (0, 3), (2, 0), (3, 0), (2, 3), (0, 2), (1, 0), (3, 2)]"
Bearing_2_1,"Bearing_2_Ball__1.binvox, Bearing_2_InnerRing__1.binvox, Bearing_2_OuterRing__1.binvox, Bearing_2_Ball__1.binvox, Bearing_2_Ball__1.binvox, Bearing_2_Ball__1.binvox, Bearing_2_Ball__1.binvox, Bearing_2_Ball__1.binvox, Bearing_2_Ball__1.binvox, Bearing_2_Ball__1.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_2_10,"Bearing_2_Ball__10.binvox, Bearing_2_InnerRing__10.binvox, Bearing_2_OuterRing__10.binvox, Bearing_2_Ball__10.binvox, Bearing_2_Ball__10.binvox, Bearing_2_Ball__10.binvox, Bearing_2_Ball__10.binvox, Bearing_2_Ball__10.binvox, Bearing_2_Ball__10.binvox, Bearing_2_Ball__10.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_2_3,"Bearing_2_Ball__3.binvox, Bearing_2_InnerRing__3.binvox, Bearing_2_OuterRing__3.binvox, Bearing_2_Ball__3.binvox, Bearing_2_Ball__3.binvox, Bearing_2_Ball__3.binvox, Bearing_2_Ball__3.binvox, Bearing_2_Ball__3.binvox, Bearing_2_Ball__3.binvox, Bearing_2_Ball__3.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
Bearing_2_4,"Bearing_2_Ball__4.binvox, Bearing_2_InnerRing__4.binvox, Bearing_2_OuterRing__4.binvox, Bearing_2_Ball__4.binvox, Bearing_2_Ball__4.binvox, Bearing_2_Ball__4.binvox, Bearing_2_Ball__4.binvox, Bearing_2_Ball__4.binvox, Bearing_2_Ball__4.binvox, Bearing_2_Ball__4.binvox","[(0, 1), (1, 2), (2, 1), (2, 0), (0, 2), (1, 0)]"
